team1_id,team2_id,toss_winner,toss_decision,winner,venue
2,3,3,1,2,16
5,9,5,0,5,12
6,7,6,0,7,8
1,3,1,0,3,33
10,2,10,0,2,7
9,6,9,0,6,25
10,7,10,0,7,22
5,1,1,1,5,15
10,6,6,1,6,22
9,1,1,1,9,12
3,6,6,1,6,16
2,5,2,0,5,15
1,10,10,1,10,4
7,9,7,0,9,12
5,3,5,0,5,16
2,1,2,0,1,7
7,3,3,1,7,8
10,9,9,1,9,22
6,2,6,0,6,25
5,7,5,0,7,15
10,3,10,0,3,22
9,2,9,0,9,12
1,7,7,1,1,4
5,6,5,0,6,25
3,9,9,1,9,16
5,10,10,1,10,15
6,1,1,1,1,4
7,5,5,1,5,8
2,3,2,0,2,7
10,6,6,1,6,25
3,1,1,1,1,16
5,9,9,1,5,15
2,10,2,0,2,22
7,6,6,1,6,25
3,9,3,0,9,12
2,7,2,0,2,7
5,1,1,1,1,33
9,6,6,1,9,12
7,10,10,1,7,8
2,1,1,1,1,33
7,9,7,0,9,8
6,3,3,1,6,25
1,10,10,1,1,22
2,5,2,0,5,7
3,7,7,1,7,16
2,6,6,1,6,7
9,1,1,1,9,33
3,5,3,0,3,15
10,9,9,1,9,12
1,7,7,1,7,8
6,5,6,0,6,15
3,10,10,1,3,16
9,2,9,0,2,7
1,6,6,1,6,25
10,5,10,0,5,22
6,7,7,1,6,33
9,5,9,0,5,33
5,6,6,1,6,4
1,5,5,1,1,20
3,6,3,0,3,20
9,7,7,1,7,20
2,10,2,0,10,20
5,3,5,0,5,29
9,2,2,1,2,14
10,3,10,0,10,20
7,5,7,0,7,14
6,2,2,1,6,20
3,9,3,0,9,14
10,1,10,0,10,14
3,7,3,0,7,29
9,6,9,0,9,20
5,10,10,1,10,14
1,2,1,0,1,29
7,6,7,0,6,31
2,3,2,0,3,14
9,1,9,0,9,14
10,7,7,1,7,31
5,6,6,1,5,31
1,2,1,0,1,2
3,9,3,0,3,14
10,6,10,0,6,29
5,7,7,1,5,19
2,9,2,0,9,29
1,3,1,0,3,19
5,10,5,0,5,2
6,9,9,1,6,14
2,7,2,0,7,14
10,1,10,0,10,31
3,6,6,1,6,31
5,9,5,0,5,31
1,7,1,0,7,2
10,9,9,1,9,3
6,5,6,0,5,3
1,3,1,0,1,29
2,7,7,1,7,19
10,6,10,0,10,3
2,3,3,1,3,31
9,1,9,0,1,31
7,10,10,1,7,14
5,3,5,0,3,14
6,1,6,0,6,14
7,9,9,1,9,21
1,5,1,0,5,29
2,10,10,1,10,19
9,10,10,1,9,19
7,6,7,0,7,21
5,2,5,0,2,31
7,3,7,0,3,19
6,2,2,1,2,14
5,9,5,0,5,14
1,7,7,1,7,31
3,10,3,0,3,31
7,10,10,1,10,31
5,3,3,1,3,19
10,3,3,1,10,19
2,10,10,1,2,4
1,6,1,0,1,1
9,7,7,1,7,12
3,2,2,1,2,7
10,5,10,0,10,15
6,7,7,1,7,23
9,3,9,0,3,16
5,2,5,0,5,7
1,7,7,1,1,8
6,3,3,1,3,16
7,5,7,0,5,8
10,9,9,1,10,0
6,2,6,0,6,23
1,3,1,0,3,1
10,7,10,0,10,0
9,5,5,1,9,15
2,1,2,0,1,1
3,5,5,1,3,16
6,9,9,1,6,12
5,1,1,1,1,1
10,6,10,0,6,23
2,9,2,0,2,12
7,3,3,1,7,16
6,5,6,0,6,23
1,10,10,1,1,4
7,2,7,0,7,8
9,1,1,1,1,1
3,5,3,0,5,15
7,6,7,0,7,8
2,10,2,0,2,7
9,3,9,0,3,12
5,6,5,0,5,15
1,10,1,0,1,1
2,9,2,0,9,7
7,3,7,0,7,8
6,10,6,0,6,32
5,1,5,0,5,15
9,6,9,0,6,25
2,7,2,0,2,7
3,10,10,1,10,16
1,9,1,0,9,12
5,10,5,0,10,32
2,3,3,1,3,16
7,9,7,0,9,8
1,6,6,1,1,25
10,3,3,1,10,32
1,7,1,0,1,1
2,5,2,0,5,15
6,3,6,0,3,25
5,7,5,0,7,15
9,10,10,1,10,10
1,3,3,1,1,16
6,2,6,0,2,7
9,5,5,1,5,10
10,7,10,0,10,8
1,2,1,0,2,7
1,3,1,0,1,4
5,10,5,0,5,4
